SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1956P888	16_A_11.root	16_A_11	root	rilGH	NA	2012	NA	GRH	LTMsoil	67	ril	b16	p209	M1956	BCMA
M1977P1725	16_A_6.root	16_A_6	root	rilGH	NA	2012	NA	GRH	LTMsoil	134	ril	b16	p217	M1977	BCMA
M1957P966	16_B_11.root	16_B_11	root	rilGH	NA	2012	NA	GRH	LTMsoil	120	ril	b16	p210	M1957	BCMA
M1958P1032	16_B_12.root	16_B_12	root	rilGH	NA	2012	NA	GRH	LTMsoil	154	ril	b16	p211	M1958	BCMA
M1959P1140	16_C_1.root	16_C_1	root	rilGH	NA	2012	NA	GRH	LTMsoil	169	ril	b16	p212	M1959	BCMA
M1961P1327	16_C_11.root	16_C_11	root	rilGH	NA	2012	NA	GRH	LTMsoil	79	ril	b16	p214	M1961	BCMA
M1956P860	16_C_3.soil	16_C_3	soil	rilGH	NA	2012	NA	GRH	LTMsoil	NA	soil	b16	p209	M1956	BCMA
M1958P1040	16_D_3.root	16_D_3	root	rilGH	NA	2012	NA	GRH	LTMsoil	105	ril	b16	p211	M1958	BCMA
M1957P961	17_A_4.root	17_A_4	root	rilGH	NA	2012	NA	GRH	LTMsoil	LTM	ril	b17	p210	M1957	BCMA
M1959P1112	17_B_12.soil	17_B_12	soil	rilGH	NA	2012	NA	GRH	LTMsoil	NA	soil	b17	p212	M1959	BCMA
M1961P1331	18_A_2.root	18_A_2	root	rilGH	NA	2012	NA	GRH	LTMsoil	87	ril	b18	p214	M1961	BCMA
M1961P1363	18_A_4.root	18_A_4	root	rilGH	NA	2012	NA	GRH	LTMsoil	109	ril	b18	p214	M1961	BCMA
M1957P928	18_A_9.root	18_A_9	root	rilGH	NA	2012	NA	GRH	LTMsoil	50	ril	b18	p210	M1957	BCMA
M1958P1062	18_B_1.root	18_B_1	root	rilGH	NA	2012	NA	GRH	LTMsoil	27	ril	b18	p211	M1958	BCMA
M1960P1288	18_B_10.root	18_B_10	root	rilGH	NA	2012	NA	GRH	LTMsoil	22	ril	b18	p213	M1960	BCMA
M1958P1077	18_B_5.root	18_B_5	root	rilGH	NA	2012	NA	GRH	LTMsoil	29	ril	b18	p211	M1958	BCMA
M1690P1394	18_B_9.root	18_B_9	root	rilGH	NA	2012	NA	GRH	LTMsoil	116	ril	b18	p215	M1690	BCMA
M1959P1191	18_C_1.root	18_C_1	root	rilGH	NA	2012	NA	GRH	LTMsoil	70	ril	b18	p212	M1959	BCMA
M1955P796	18_C_11.root	18_C_11	root	rilGH	NA	2012	NA	GRH	LTMsoil	LTM	ril	b18	p208	M1955	BCMA
M1961P1343	18_D_1.root	18_D_1	root	rilGH	NA	2012	NA	GRH	LTMsoil	138	ril	b18	p214	M1961	BCMA
M1960P1263	18_D_4.root	18_D_4	root	rilGH	NA	2012	NA	GRH	LTMsoil	150	ril	b18	p213	M1960	BCMA
M1961P1347	19_A_11.root	19_A_11	root	rilGH	NA	2012	NA	GRH	SADsoil	67	ril	b19	p214	M1961	BCMA
M1959P1169	19_A_2.root	19_A_2	root	rilGH	NA	2012	NA	GRH	SADsoil	157	ril	b19	p209	M1959	BCMA
M1956P904	19_A_2.root	19_A_2	root	rilGH	NA	2012	NA	GRH	SADsoil	157	ril	b19	p209	M1956	BCMA
M1961P1346	19_A_4.root	19_A_4	root	rilGH	NA	2012	NA	GRH	SADsoil	165	ril	b19	p214	M1961	BCMA
M1961P1317	19_A_6.root	19_A_6	root	rilGH	NA	2012	NA	GRH	SADsoil	134	ril	b19	p214	M1961	BCMA
M1690P1385	19_A_8.root	19_A_8	root	rilGH	NA	2012	NA	GRH	SADsoil	62	ril	b19	p215	M1690	BCMA
M1960P1258	19_A_9.root	19_A_9	root	rilGH	NA	2012	NA	GRH	SADsoil	56	ril	b19	p213	M1960	BCMA
M1955P789	19_B_1.root	19_B_1	root	rilGH	NA	2012	NA	GRH	SADsoil	LTM	ril	b19	p208	M1955	BCMA
M1957P942	19_B_2.root	19_B_2	root	rilGH	NA	2012	NA	GRH	SADsoil	SAD12	ril	b19	p210	M1957	BCMA
M1690P1390	19_B_3.root	19_B_3	root	rilGH	NA	2012	NA	GRH	SADsoil	80	ril	b19	p215	M1690	BCMA
M1958P1087	19_B_7.root	19_B_7	root	rilGH	NA	2012	NA	GRH	SADsoil	28	ril	b19	p211	M1958	BCMA
M1960P1265	19_B_9.root	19_B_9	root	rilGH	NA	2012	NA	GRH	SADsoil	135	ril	b19	p213	M1960	BCMA
M1961P1289	19_C_1.root	19_C_1	root	rilGH	NA	2012	NA	GRH	SADsoil	169	ril	b19	p214	M1961	BCMA
M1957P931	19_C_10.root	19_C_10	root	rilGH	NA	2012	NA	GRH	SADsoil	9	ril	b19	p210	M1957	BCMA
M1960P1282	19_C_11.root	19_C_11	root	rilGH	NA	2012	NA	GRH	SADsoil	79	ril	b19	p213	M1960	BCMA
M1956P856	19_C_12.root	19_C_12	root	rilGH	NA	2012	NA	GRH	SADsoil	173	ril	b19	p209	M1956	BCMA
M1961P1358	19_C_3.soil	19_C_3	soil	rilGH	NA	2012	NA	GRH	SADsoil	NA	soil	b19	p214	M1961	BCMA
M1960P1276	19_C_4.root	19_C_4	root	rilGH	NA	2012	NA	GRH	SADsoil	180	ril	b19	p213	M1960	BCMA
M1960P1286	19_C_6.root	19_C_6	root	rilGH	NA	2012	NA	GRH	SADsoil	21	ril	b19	p213	M1960	BCMA
M1959P1109	19_C_7.root	19_C_7	root	rilGH	NA	2012	NA	GRH	SADsoil	145	ril	b19	p212	M1959	BCMA
M1956P891	19_C_8.root	19_C_8	root	rilGH	NA	2012	NA	GRH	SADsoil	103	ril	b19	p209	M1956	BCMA
