SampleID	Name	Plant_ID	Type	Experiment	Cohort	Harvested	Age	Site	Treatment	Line	Genotype	Block	oldPlate	newPlate	Analysis
M1551P72	8_0101.leaf	8_0101	leaf	ecotypes	2008	2011	3	Mil	field	MIL.60.A	MIL	8_03	p200	M1551	Ecotypes
M1982P724	8_0101.root	8_0101	root	ecotypes	2008	2011	3	Mil	field	MIL.60.A	MIL	8_03	p207	M1982	Ecotypes
M1555P254	8_0106.leaf	8_0106	leaf	ecotypes	2008	2011	3	Mil	field	JAM.17.A	JAM	8_03	p202	M1555	Ecotypes
M1979P454	8_0106.root	8_0106	root	ecotypes	2008	2011	3	Mil	field	JAM.17.A	JAM	8_03	p204	M1979	Ecotypes
M1978P308	8_0107.leaf	8_0107	leaf	ecotypes	2008	2011	3	Mil	field	JAM.15.A	JAM	8_03	p203	M1978	Ecotypes
M1982P662	8_0107.root	8_0107	root	ecotypes	2008	2011	3	Mil	field	JAM.15.A	JAM	8_03	p207	M1982	Ecotypes
M1554P144	8_0114.leaf	8_0114	leaf	ecotypes	2008	2011	3	Mil	field	MIL.21.B2	MIL	8_03	p201	M1554	Ecotypes
M1981P589	8_0114.root	8_0114	root	ecotypes	2008	2011	3	Mil	field	MIL.21.B2	MIL	8_03	p206	M1981	Ecotypes
M1981P564	8_0115.root	8_0115	root	ecotypes	2008	2011	3	Mil	field	MAH.48.A	MAH	8_03	p206	M1981	Ecotypes
M1982P661	8_0149.leaf	8_0149	leaf	ecotypes	2008	2011	3	Jam	field	SILLow.7	SIL	8_04	p207	M1982	Ecotypes
M1978P293	8_0149.root	8_0149 	root	ecotypes	2008	2011	3	Jam	field	SILLow.7	SIL	8_04	p203	M1978	Ecotypes
M1980P462	8_0157.leaf	8_0157	leaf	ecotypes	2008	2011	3	Jam	field	MIL.54.A	MIL	8_04	p205	M1980	Ecotypes
M1555P221	8_0157.root	8_0157 	root	ecotypes	2008	2011	3	Jam	field	MIL.54.A	MIL	8_04	p202	M1555	Ecotypes
M1980P471	8_0158.leaf	8_0158	leaf	ecotypes	2008	2011	3	Jam	field	JAM.6.A	JAM	8_04	p205	M1980	Ecotypes
M1979P422	8_0158.root	8_0158 	root	ecotypes	2008	2011	3	Jam	field	JAM.6.A	JAM	8_04	p204	M1979	Ecotypes
M1551P46	8_0160.leaf	8_0160	leaf	ecotypes	2008	2012	4	Jam	field	PAR.9.A1	PAR	8_04	p200	M1551	Ecotypes
M1981P581	8_0160.root	8_0160	root	ecotypes	2008	2012	4	Jam	field	PAR.9.A1	PAR	8_04	p206	M1981	Ecotypes
M1979P379	8_0162.leaf	8_0162	leaf	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_04	p204	M1979	Ecotypes
M1982P693	8_0162.root	8_0162	root	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_04	p207	M1982	Ecotypes
M1982P655	8_0167.leaf	8_0167	leaf	ecotypes	2008	2011	3	Jam	field	PAR.17.A1	PAR	8_04	p207	M1982	Ecotypes
M1554P182	8_0167.root	8_0167 	root	ecotypes	2008	2011	3	Jam	field	PAR.17.A1	PAR	8_04	p201	M1554	Ecotypes
M1554P167	8_0171.leaf	8_0171	leaf	ecotypes	2008	2012	4	Jam	field	SILLow.3	SIL	8_04	p201	M1554	Ecotypes
M1980P549	8_0171.root	8_0171	root	ecotypes	2008	2012	4	Jam	field	SILLow.3	SIL	8_04	p205	M1980	Ecotypes
M1981P623	8_0174.leaf	8_0174	leaf	ecotypes	2008	2011	3	Jam	field	MAH.37.A	MAH	8_04	p206	M1981	Ecotypes
M1555P239	8_0174.root	8_0174 	root	ecotypes	2008	2011	3	Jam	field	MAH.37.A	MAH	8_04	p202	M1555	Ecotypes
M1554P133	8_0180.leaf	8_0180	leaf	ecotypes	2008	2012	4	Jam	field	MIL.32.A1	MIL	8_04	p201	M1554	Ecotypes
M1958P1020	8_0195.leaf	8_0195	leaf	ecotypes	2008	2011	3	Sil	field	SILupper.2	SIL	8_05	p211	M1958	Ecotypes
M1555P205	8_0195.root	8_0195 	root	ecotypes	2008	2011	3	Sil	field	SILupper.2	SIL	8_05	p202	M1555	Ecotypes
M1959P1121	8_0196.leaf	8_0196	leaf	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_05	p212	M1959	Ecotypes
M1551P83	8_0196.root	8_0196 	root	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_05	p200	M1551	Ecotypes
M1555P249	8_0200.leaf	8_0200	leaf	ecotypes	2008	2012	4	Sil	field	PAR.10.A6	PAR	8_05	p202	M1555	Ecotypes
M1957P925	8_0200.root	8_0200	root	ecotypes	2008	2012	4	Sil	field	PAR.10.A6	PAR	8_05	p210	M1957	Ecotypes
M1961P1359	8_0203.leaf	8_0203	leaf	ecotypes	2008	2011	3	Sil	field	MAH.5.A	MAH	8_05	p214	M1961	Ecotypes
M1551P21	8_0203.root	8_0203 	root	ecotypes	2008	2011	3	Sil	field	MAH.5.A	MAH	8_05	p200	M1551	Ecotypes
M1690P1399	8_0204.leaf	8_0204	leaf	ecotypes	2008	2011	3	Sil	field	JAM.6.A	JAM	8_05	p215	M1690	Ecotypes
M1555P214	8_0204.root	8_0204 	root	ecotypes	2008	2011	3	Sil	field	JAM.6.A	JAM	8_05	p202	M1555	Ecotypes
M1979P388	8_0205.leaf	8_0205	leaf	ecotypes	2008	2012	4	Sil	field	JAM.22.A	JAM	8_05	p204	M1979	Ecotypes
M1957P985	8_0205.root	8_0205	root	ecotypes	2008	2012	4	Sil	field	JAM.22.A	JAM	8_05	p210	M1957	Ecotypes
M1955P819	8_0206.leaf	8_0206	leaf	ecotypes	2008	2011	3	Sil	field	SILLow.7	SIL	8_05	p208	M1955	Ecotypes
M1979P426	8_0206.root	8_0206 	root	ecotypes	2008	2011	3	Sil	field	SILLow.7	SIL	8_05	p204	M1979	Ecotypes
M1551P84	8_0209.leaf	8_0209	leaf	ecotypes	2008	2012	4	Sil	field	MAH.48.A	MAH	8_05	p200	M1551	Ecotypes
M1981P607	8_0209.root	8_0209	root	ecotypes	2008	2012	4	Sil	field	MAH.48.A	MAH	8_05	p206	M1981	Ecotypes
M1551P38	8_0218.leaf	8_0218	leaf	ecotypes	2008	2012	4	Sil	field	MAH.8.A1	MAH	8_05	p200	M1551	Ecotypes
M1978P280	8_0226.leaf	8_0226	leaf	ecotypes	2008	2012	4	Sil	field	PAR.9.A1	PAR	8_05	p203	M1978	Ecotypes
M1957P993	8_0226.root	8_0226	root	ecotypes	2008	2012	4	Sil	field	PAR.9.A1	PAR	8_05	p210	M1957	Ecotypes
M1978P286	8_0229.leaf	8_0229	leaf	ecotypes	2008	2012	4	Sil	field	SILLow.3	SIL	8_05	p203	M1978	Ecotypes
M1982P698	8_0242.leaf	8_0242	leaf	ecotypes	2008	2012	4	Sil	field	JAM.22.A	JAM	8_06	p207	M1982	Ecotypes
M1961P1365	8_0242.root	8_0242	root	ecotypes	2008	2012	4	Sil	field	JAM.22.A	JAM	8_06	p214	M1961	Ecotypes
M1957P982	8_0243.leaf	8_0243	leaf	ecotypes	2008	2011	3	Sil	field	MIL.70.A	MIL	8_06	p210	M1957	Ecotypes
M1979P369	8_0243.root	8_0243 	root	ecotypes	2008	2011	3	Sil	field	MIL.70.A	MIL	8_06	p204	M1979	Ecotypes
M1690P1397	8_0250.leaf	8_0250	leaf	ecotypes	2008	2011	3	Sil	field	JAM.19.B	JAM	8_06	p215	M1690	Ecotypes
M1978P318	8_0250.root	8_0250 	root	ecotypes	2008	2011	3	Sil	field	JAM.19.B	JAM	8_06	p203	M1978	Ecotypes
M1956P853	8_0258.leaf	8_0258	leaf	ecotypes	2008	2011	3	Sil	field	SILLow.1	SIL	8_06	p209	M1956	Ecotypes
M1979P381	8_0258.root	8_0258 	root	ecotypes	2008	2011	3	Sil	field	SILLow.1	SIL	8_06	p204	M1979	Ecotypes
M1960P1219	8_0274.leaf	8_0274	leaf	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_06	p213	M1960	Ecotypes
M1554P112	8_0274.root	8_0274 	root	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_06	p201	M1554	Ecotypes
M1961P1333	8_0277.leaf	8_0277	leaf	ecotypes	2008	2011	3	Sil	field	MAH.38.B	MAH	8_06	p214	M1961	Ecotypes
M1554P151	8_0283.leaf	8_0283	leaf	ecotypes	2008	2012	4	Sil	field	SILLow.3	SIL	8_06	p201	M1554	Ecotypes
M1980P467	8_0283.root	8_0283	root	ecotypes	2008	2012	4	Sil	field	SILLow.3	SIL	8_06	p205	M1980	Ecotypes
M1551P73	8_0297.root	8_0297 	root	ecotypes	2008	2011	3	Jam	field	JAM.22.A	JAM	8_07	p200	M1551	Ecotypes
M1981P615	8_0302.leaf	8_0302	leaf	ecotypes	2008	2012	4	Jam	field	JAM.17.A	JAM	8_07	p206	M1981	Ecotypes
M1956P883	8_0302.root	8_0302	root	ecotypes	2008	2012	4	Jam	field	JAM.17.A	JAM	8_07	p209	M1956	Ecotypes
M1555P248	8_0307.leaf	8_0307	leaf	ecotypes	2008	2012	4	Jam	field	SILLow.3	SIL	8_07	p202	M1555	Ecotypes
M1958P1065	8_0307.root	8_0307	root	ecotypes	2008	2012	4	Jam	field	SILLow.3	SIL	8_07	p211	M1958	Ecotypes
M1980P494	8_0310.leaf	8_0310	leaf	ecotypes	2008	2011	3	Jam	field	SILLow.5	SIL	8_07	p205	M1980	Ecotypes
M1980P533	8_0318.leaf	8_0318	leaf	ecotypes	2008	2011	3	Jam	field	JAM.40.A	JAM	8_07	p205	M1980	Ecotypes
M1554P138	8_0318.root	8_0318 	root	ecotypes	2008	2011	3	Jam	field	JAM.40.A	JAM	8_07	p201	M1554	Ecotypes
M1982P711	8_0326.leaf	8_0326	leaf	ecotypes	2008	2011	3	Jam	field	MIL.60.A	MIL	8_07	p207	M1982	Ecotypes
M1978P307	8_0326.root	8_0326 	root	ecotypes	2008	2011	3	Jam	field	MIL.60.A	MIL	8_07	p203	M1978	Ecotypes
M1982P696	8_0327.leaf	8_0327	leaf	ecotypes	2008	2011	3	Jam	field	PAR.22.A2	PAR	8_07	p207	M1982	Ecotypes
M1555P231	8_0327.root	8_0327 	root	ecotypes	2008	2011	3	Jam	field	PAR.22.A2	PAR	8_07	p202	M1555	Ecotypes
M1980P520	8_0328.leaf	8_0328	leaf	ecotypes	2008	2011	3	Jam	field	MAH.37.A	MAH	8_07	p205	M1980	Ecotypes
M1555P190	8_0328.root	8_0328 	root	ecotypes	2008	2011	3	Jam	field	MAH.37.A	MAH	8_07	p202	M1555	Ecotypes
M1955P744	8_0330.leaf	8_0330	leaf	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_07	p208	M1955	Ecotypes
M1980P516	8_0330.root	8_0330	root	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_07	p205	M1980	Ecotypes
M1980P485	8_0339.root	8_0339	root	ecotypes	2008	2012	4	Mil	field	JAM.15.A	JAM	8_08	p205	M1980	Ecotypes
M1551P10	8_0351.leaf	8_0351	leaf	ecotypes	2008	2011	3	Mil	field	MAH.13.A	MAH	8_08	p200	M1551	Ecotypes
M1981P618	8_0351.root	8_0351	root	ecotypes	2008	2011	3	Mil	field	MAH.13.A	MAH	8_08	p206	M1981	Ecotypes
M1554P140	8_0358.leaf	8_0358	leaf	ecotypes	2008	2011	3	Mil	field	SILLow.2	SIL	8_08	p201	M1554	Ecotypes
M1980P491	8_0358.root	8_0358	root	ecotypes	2008	2011	3	Mil	field	SILLow.2	SIL	8_08	p205	M1980	Ecotypes
M1981P616	8_0365.root	8_0365	root	ecotypes	2008	2011	3	Mil	field	MIL.68.B	MIL	8_08	p206	M1981	Ecotypes
M1554P101	8_0370.leaf	8_0370	leaf	ecotypes	2008	2011	3	Mil	field	MIL.32.A1	MIL	8_08	p201	M1554	Ecotypes
M1977P1717	8_0370.root	8_0370	root	ecotypes	2008	2011	3	Mil	field	MIL.32.A1	MIL	8_08	p217	M1977	Ecotypes
M1978P361	8_0373.leaf	8_0373	leaf	ecotypes	2008	2011	3	Mil	field	MIL.54.A	MIL	8_08	p203	M1978	Ecotypes
M1979P451	8_0373.root	8_0373	root	ecotypes	2008	2011	3	Mil	field	MIL.54.A	MIL	8_08	p204	M1979	Ecotypes
M1551P16	8_0383.leaf	8_0383	leaf	ecotypes	2008	2011	3	Mil	field	JAM.22.A	JAM	8_08	p200	M1551	Ecotypes
M1955P749	8_0383.root	8_0383	root	ecotypes	2008	2011	3	Mil	field	JAM.22.A	JAM	8_08	p208	M1955	Ecotypes
M1551P78	8_0388.leaf	8_0388	leaf	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_09	p200	M1551	Ecotypes
M1961P1292	8_0388.root	8_0388	root	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_09	p214	M1961	Ecotypes
M1978P297	8_0390.leaf	8_0390	leaf	ecotypes	2008	2012	4	Mah	field	JAM.22.A	JAM	8_09	p203	M1978	Ecotypes
M1982P690	8_0390.root	8_0390	root	ecotypes	2008	2012	4	Mah	field	JAM.22.A	JAM	8_09	p207	M1982	Ecotypes
M1955P739	8_0392.leaf	8_0392	leaf	ecotypes	2008	2011	3	Mah	field	JAM.7.B	JAM	8_09	p208	M1955	Ecotypes
M1981P578	8_0392.root	8_0392	root	ecotypes	2008	2011	3	Mah	field	JAM.7.B	JAM	8_09	p206	M1981	Ecotypes
M1980P506	8_0393.leaf	8_0393	leaf	ecotypes	2008	2011	3	Mah	field	PAR.13.A	PAR	8_09	p205	M1980	Ecotypes
M1981P631	8_0393.root	8_0393	root	ecotypes	2008	2011	3	Mah	field	PAR.13.A	PAR	8_09	p206	M1981	Ecotypes
M1980P461	8_0398.leaf	8_0398	leaf	ecotypes	2008	2011	3	Mah	field	SILupper.2	SIL	8_09	p205	M1980	Ecotypes
M1982P667	8_0398.root	8_0398	root	ecotypes	2008	2011	3	Mah	field	SILupper.2	SIL	8_09	p207	M1982	Ecotypes
M1554P150	8_0399.leaf	8_0399	leaf	ecotypes	2008	2012	4	Mah	field	JAM.17.A	JAM	8_09	p201	M1554	Ecotypes
M1554P129	8_0400.leaf	8_0400	leaf	ecotypes	2008	2012	4	Mah	field	MIL.32.A1	MIL	8_09	p201	M1554	Ecotypes
M1961P1314	8_0400.root	8_0400	root	ecotypes	2008	2012	4	Mah	field	MIL.32.A1	MIL	8_09	p214	M1961	Ecotypes
M1555P266	8_0411.leaf	8_0411	leaf	ecotypes	2008	2012	4	Mah	field	PAR.9.A1	PAR	8_09	p202	M1555	Ecotypes
M1981P576	8_0411.root	8_0411	root	ecotypes	2008	2012	4	Mah	field	PAR.9.A1	PAR	8_09	p206	M1981	Ecotypes
M1979P434	8_0413.leaf	8_0413	leaf	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_09	p204	M1979	Ecotypes
M1982P673	8_0413.root	8_0413	root	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_09	p207	M1982	Ecotypes
M1980P496	8_0419.leaf	8_0419	leaf	ecotypes	2008	2011	3	Mah	field	MAH.16.A	MAH	8_09	p205	M1980	Ecotypes
M1982P707	8_0419.root	8_0419	root	ecotypes	2008	2011	3	Mah	field	MAH.16.A	MAH	8_09	p207	M1982	Ecotypes
M1980P469	8_0424.leaf	8_0424	leaf	ecotypes	2008	2011	3	Mah	field	MIL.24.A	MIL	8_09	p205	M1980	Ecotypes
M1980P486	8_0424.root	8_0424	root	ecotypes	2008	2011	3	Mah	field	MIL.24.A	MIL	8_09	p205	M1980	Ecotypes
M1554P146	8_0428.leaf	8_0428	leaf	ecotypes	2008	2012	4	Mah	field	SILLow.3	SIL	8_09	p201	M1554	Ecotypes
M1957P984	8_0428.root	8_0428	root	ecotypes	2008	2012	4	Mah	field	SILLow.3	SIL	8_09	p210	M1957	Ecotypes
M1980P532	8_0430.leaf	8_0430	leaf	ecotypes	2008	2011	3	Mah	field	SILLow.7	SIL	8_09	p205	M1980	Ecotypes
M1977P1714	8_0430.root	8_0430	root	ecotypes	2008	2011	3	Mah	field	SILLow.7	SIL	8_09	p217	M1977	Ecotypes
M1554P159	8_0431.leaf	8_0431	leaf	ecotypes	2008	2012	4	Mah	field	MAH.8.A1	MAH	8_09	p201	M1554	Ecotypes
M1961P1349	8_0448.leaf	8_0448	leaf	ecotypes	2008	2011	3	Par	field	MAH.46.A	MAH	8_10	p214	M1961	Ecotypes
M1978P316	8_0448.root	8_0448	root	ecotypes	2008	2011	3	Par	field	MAH.46.A	MAH	8_10	p203	M1978	Ecotypes
M1551P56	8_0452.leaf	8_0452	leaf	ecotypes	2008	2011	3	Par	field	MAH.13.A	MAH	8_10	p200	M1551	Ecotypes
M1555P255	8_0452.root	8_0452	root	ecotypes	2008	2011	3	Par	field	MAH.13.A	MAH	8_10	p202	M1555	Ecotypes
M1978P300	8_0464.leaf	8_0464	leaf	ecotypes	2008	2011	3	Par	field	MAH.8.A1	MAH	8_10	p203	M1978	Ecotypes
M1981P569	8_0464.root	8_0464	root	ecotypes	2008	2011	3	Par	field	MAH.8.A1	MAH	8_10	p206	M1981	Ecotypes
M1961P1304	8_0483.root	8_0483	root	ecotypes	2008	2012	4	Mil	field	JAM.40.A	JAM	8_11	p214	M1961	Ecotypes
M1978P339	8_0488.leaf	8_0488	leaf	ecotypes	2008	2011	3	Mil	field	JAM.17.A	JAM	8_11	p203	M1978	Ecotypes
M1982P728	8_0488.root	8_0488	root	ecotypes	2008	2011	3	Mil	field	JAM.17.A	JAM	8_11	p207	M1982	Ecotypes
M1955P757	8_0493.root	8_0493	root	ecotypes	2008	2011	3	Mil	field	MIL.70.A	MIL	8_11	p208	M1955	Ecotypes
M1555P225	8_0497.leaf	8_0497	leaf	ecotypes	2008	2011	3	Mil	field	MIL.60.A	MIL	8_11	p202	M1555	Ecotypes
M1554P157	8_0500.leaf	8_0500	leaf	ecotypes	2008	2011	3	Mil	field	MAH.16.A	MAH	8_11	p201	M1554	Ecotypes
M1555P193	8_0537.leaf	8_0537	leaf	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_12	p202	M1555	Ecotypes
M1980P500	8_0537.root	8_0537	root	ecotypes	2008	2012	4	Mah	field	PAR.10.A6	PAR	8_12	p205	M1980	Ecotypes
M1981P597	8_0545.leaf	8_0545	leaf	ecotypes	2008	2011	3	Mah	field	SILLow.7	SIL	8_12	p206	M1981	Ecotypes
M1977P1705	8_0545.root	8_0545	root	ecotypes	2008	2011	3	Mah	field	SILLow.7	SIL	8_12	p217	M1977	Ecotypes
M1955P764	8_0546.leaf	8_0546	leaf	ecotypes	2008	2011	3	Mah	field	SILupper.2	SIL	8_12	p208	M1955	Ecotypes
M1981P588	8_0546.root	8_0546	root	ecotypes	2008	2011	3	Mah	field	SILupper.2	SIL	8_12	p206	M1981	Ecotypes
M1979P458	8_0548.root	8_0548	root	ecotypes	2008	2011	3	Mah	field	JAM.40.A	JAM	8_12	p204	M1979	Ecotypes
M1956P864	8_0552.leaf	8_0552	leaf	ecotypes	2008	2012	4	Mah	field	MAH.8.A1	MAH	8_12	p209	M1956	Ecotypes
M1981P574	8_0552.root	8_0552	root	ecotypes	2008	2012	4	Mah	field	MAH.8.A1	MAH	8_12	p206	M1981	Ecotypes
M1551P85	8_0557.leaf	8_0557	leaf	ecotypes	2008	2012	4	Mah	field	SILLow.3	SIL	8_12	p200	M1551	Ecotypes
M1960P1222	8_0557.root	8_0557	root	ecotypes	2008	2012	4	Mah	field	SILLow.3	SIL	8_12	p213	M1960	Ecotypes
M1982P709	8_0560.leaf	8_0560	leaf	ecotypes	2008	2011	3	Mah	field	MIL.70.A	MIL	8_12	p207	M1982	Ecotypes
M1980P475	8_0560.root	8_0560	root	ecotypes	2008	2011	3	Mah	field	MIL.70.A	MIL	8_12	p205	M1980	Ecotypes
M1980P539	8_0561.leaf	8_0561	leaf	ecotypes	2008	2011	3	Mah	field	MAH.37.A	MAH	8_12	p205	M1980	Ecotypes
M1982P645	8_0561.root	8_0561	root	ecotypes	2008	2011	3	Mah	field	MAH.37.A	MAH	8_12	p207	M1982	Ecotypes
M1979P433	8_0562.leaf	8_0562	leaf	ecotypes	2008	2012	4	Mah	field	JAM.17.A	JAM	8_12	p204	M1979	Ecotypes
M1981P613	8_0562.root	8_0562	root	ecotypes	2008	2012	4	Mah	field	JAM.17.A	JAM	8_12	p206	M1981	Ecotypes
M1981P577	8_0573.leaf	8_0573	leaf	ecotypes	2008	2011	3	Mah	field	PAR.9.A1	PAR	8_12	p206	M1981	Ecotypes
M1980P535	8_0573.root	8_0573	root	ecotypes	2008	2011	3	Mah	field	PAR.9.A1	PAR	8_12	p205	M1980	Ecotypes
M1978P285	8_0574.leaf	8_0574	leaf	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_12	p203	M1978	Ecotypes
M1959P1186	8_0574.root	8_0574	root	ecotypes	2008	2012	4	Mah	field	MAH.48.A	MAH	8_12	p212	M1959	Ecotypes
M1961P1374	8_0580.leaf	8_0580	leaf	ecotypes	2008	2012	4	Jam	field	MIL.32.A1	MIL	8_13	p214	M1961	Ecotypes
M1956P906	8_0580.root	8_0580	root	ecotypes	2008	2012	4	Jam	field	MIL.32.A1	MIL	8_13	p209	M1956	Ecotypes
M1981P609	8_0589.leaf	8_0589	leaf	ecotypes	2008	2011	3	Jam	field	JAM.6.A	JAM	8_13	p206	M1981	Ecotypes
M1554P132	8_0589.root	8_0589 	root	ecotypes	2008	2011	3	Jam	field	JAM.6.A	JAM	8_13	p201	M1554	Ecotypes
M1979P397	8_0591.leaf	8_0591	leaf	ecotypes	2008	2012	4	Jam	field	SILLow.3	SIL	8_13	p204	M1979	Ecotypes
M1981P556	8_0593.leaf	8_0593	leaf	ecotypes	2008	2011	3	Jam	field	PAR.10.A6	PAR	8_13	p206	M1981	Ecotypes
M1551P92	8_0593.root	8_0593 	root	ecotypes	2008	2011	3	Jam	field	PAR.10.A6	PAR	8_13	p200	M1551	Ecotypes
M1978P329	8_0606.leaf	8_0606	leaf	ecotypes	2008	2012	4	Jam	field	JAM.17.A	JAM	8_13	p203	M1978	Ecotypes
M1955P810	8_0606.root	8_0606	root	ecotypes	2008	2012	4	Jam	field	JAM.17.A	JAM	8_13	p208	M1955	Ecotypes
M1981P638	8_0608.leaf	8_0608	leaf	ecotypes	2008	2011	3	Jam	field	MAH.16.A	MAH	8_13	p206	M1981	Ecotypes
M1551P67	8_0608.root	8_0608 	root	ecotypes	2008	2011	3	Jam	field	MAH.16.A	MAH	8_13	p200	M1551	Ecotypes
M1979P439	8_0609.leaf	8_0609	leaf	ecotypes	2008	2011	3	Jam	field	SILLow.2	SIL	8_13	p204	M1979	Ecotypes
M1551P37	8_0609.root	8_0609 	root	ecotypes	2008	2011	3	Jam	field	SILLow.2	SIL	8_13	p200	M1551	Ecotypes
M1981P586	8_0612.leaf	8_0612	leaf	ecotypes	2008	2011	3	Jam	field	MIL.68.B	MIL	8_13	p206	M1981	Ecotypes
M1555P256	8_0612.root	8_0612	root	ecotypes	2008	2011	3	Jam	field	MIL.68.B	MIL	8_13	p202	M1555	Ecotypes
M1979P425	8_0617.leaf	8_0617	leaf	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_13	p204	M1979	Ecotypes
M1981P566	8_0617.root	8_0617	root	ecotypes	2008	2012	4	Jam	field	MAH.8.A1	MAH	8_13	p206	M1981	Ecotypes
M1977P1688	8_0625.leaf	8_0625	leaf	ecotypes	2008	2012	4	Sil	field	PAR.9.A1	PAR	8_14	p217	M1977	Ecotypes
M1982P684	8_0625.root	8_0625	root	ecotypes	2008	2012	4	Sil	field	PAR.9.A1	PAR	8_14	p207	M1982	Ecotypes
M1554P163	8_0631.root	8_0631 	root	ecotypes	2008	2011	3	Sil	field	MAH.48.A	MAH	8_14	p201	M1554	Ecotypes
M1977P1712	8_0635.root	8_0635	root	ecotypes	2008	2012	4	Sil	field	JAM.17.A	JAM	8_14	p217	M1977	Ecotypes
M1961P1298	8_0647.leaf	8_0647	leaf	ecotypes	2008	2011	3	Sil	field	JAM.26.A	JAM	8_14	p214	M1961	Ecotypes
M1554P124	8_0647.root	8_0647 	root	ecotypes	2008	2011	3	Sil	field	JAM.26.A	JAM	8_14	p201	M1554	Ecotypes
M1551P90	8_0656.root	8_0656 	root	ecotypes	2008	2011	3	Sil	field	MAH.38.B	MAH	8_14	p200	M1551	Ecotypes
M1955P814	8_0663.leaf	8_0663	leaf	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_14	p208	M1955	Ecotypes
M1555P238	8_0663.root	8_0663 	root	ecotypes	2008	2011	3	Sil	field	PAR.13.A	PAR	8_14	p202	M1555	Ecotypes
M1961P1364	8_0671.leaf	8_0671	leaf	ecotypes	2008	2011	3	Sil	field	SILLow.3	SIL	8_14	p214	M1961	Ecotypes
M1961P1308	8_0672.leaf	8_0672	leaf	ecotypes	2008	2011	3	Sil	field	MIL.32.A1	MIL	8_14	p214	M1961	Ecotypes
M1979P378	8_0672.root	8_0672 	root	ecotypes	2008	2011	3	Sil	field	MIL.32.A1	MIL	8_14	p204	M1979	Ecotypes
M1555P203	8_0675.leaf	8_0675	leaf	ecotypes	2008	2011	3	Par	field	SILLow.2	SIL	8_15	p202	M1555	Ecotypes
M1978P350	8_0675.root	8_0675	root	ecotypes	2008	2011	3	Par	field	SILLow.2	SIL	8_15	p203	M1978	Ecotypes
M1554P117	8_0677.leaf	8_0677	leaf	ecotypes	2008	2011	3	Par	field	JAM.26.A	JAM	8_15	p201	M1554	Ecotypes
M1982P651	8_0677.root	8_0677	root	ecotypes	2008	2011	3	Par	field	JAM.26.A	JAM	8_15	p207	M1982	Ecotypes
M1978P324	8_0678.leaf	8_0678	leaf	ecotypes	2008	2011	3	Par	field	MIL.32.A1	MIL	8_15	p203	M1978	Ecotypes
M1978P306	8_0678.root	8_0678	root	ecotypes	2008	2011	3	Par	field	MIL.32.A1	MIL	8_15	p203	M1978	Ecotypes
M1977P1698	8_0679.leaf	8_0679	leaf	ecotypes	2008	2011	3	Par	field	JAM.7.B	JAM	8_15	p217	M1977	Ecotypes
M1555P228	8_0679.root	8_0679	root	ecotypes	2008	2011	3	Par	field	JAM.7.B	JAM	8_15	p202	M1555	Ecotypes
M1958P1060	8_0681.leaf	8_0681	leaf	ecotypes	2008	2011	3	Par	field	MAH.48.A	MAH	8_15	p211	M1958	Ecotypes
M1978P296	8_0681.root	8_0681	root	ecotypes	2008	2011	3	Par	field	MAH.48.A	MAH	8_15	p203	M1978	Ecotypes
M1979P398	8_0690.leaf	8_0690	leaf	ecotypes	2008	2011	3	Par	field	JAM.22.A	JAM	8_15	p204	M1979	Ecotypes
M1555P219	8_0690.root	8_0690	root	ecotypes	2008	2011	3	Par	field	JAM.22.A	JAM	8_15	p202	M1555	Ecotypes
M1982P691	8_0698.root	8_0698	root	ecotypes	2008	2011	3	Par	field	MAH.9.B	MAH	8_15	p207	M1982	Ecotypes
M1978P303	8_0703.leaf	8_0703	leaf	ecotypes	2008	2011	3	Par	field	JAM.40.A	JAM	8_15	p203	M1978	Ecotypes
M1980P477	8_0703.root	8_0703	root	ecotypes	2008	2011	3	Par	field	JAM.40.A	JAM	8_15	p205	M1980	Ecotypes
M1979P430	8_0704.leaf	8_0704	leaf	ecotypes	2008	2011	3	Par	field	MIL.68.B	MIL	8_15	p204	M1979	Ecotypes
M1555P188	8_0713.leaf	8_0713	leaf	ecotypes	2008	2011	3	Par	field	SILLow.3	SIL	8_15	p202	M1555	Ecotypes
